,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Weight Matrix Tile Size,Space Needed in L1,tileA_cc,Space Remaining,tileB_cc,Reduction Dim,m Dim,tileB,Row Dim,tileC_cc,tileC,tileA,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,128x128x32w128-8-8,128,128,32,128,8,8,128-8-8,1024,33792,1024,80896,512,8,128,512,8,1024,8192,8192,512,16,1,8,8,16,17,1,8,8,17,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,1.0,16.0,4.0,86016.0,0,91114,91116,91113,91085,91085,91102,91134,91110,95342,91135
1,128x128x32w16-32-32,128,128,32,16,32,32,16-32-32,16384,32768,512,81920,8192,32,16,8192,32,512,4096,4096,256,2,4,32,8,2,3,4,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,8.0,4.0,1.0,65536.0,2,80586,80578,80596,80564,80562,80574,80575,80603,83942,80604
2,128x128x32w16-64-16,128,128,32,16,64,16,16-64-16,16384,36864,256,77824,8192,16,16,8192,64,1024,8192,2048,256,2,8,16,8,2,3,8,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,8.0,2.0,2.0,57344.0,2,86101,86108,86110,86143,86143,86160,86110,86110,89817,86161
3,128x128x32w32-16-32,128,128,32,32,16,32,32-16-32,8192,32768,1024,81920,4096,32,32,4096,16,512,4096,8192,256,4,2,32,8,4,5,2,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,8.0,1.0,65536.0,1,73742,73752,73744,73733,73731,73739,73741,73738,77174,73753
4,128x128x32w32-32-16,128,128,32,32,32,16,32-32-16,8192,32768,512,81920,4096,16,32,4096,32,1024,8192,4096,256,4,4,16,8,4,5,4,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,4.0,2.0,49152.0,2,86015,86067,86078,86075,86081,86112,86067,86059,89764,86113
5,128x128x32w32-32-32,128,128,32,32,32,32,32-32-32,16384,49152,1024,65536,8192,32,32,8192,32,1024,8192,8192,128,4,4,32,8,4,5,4,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,4.0,1.0,49152.0,3,78138,78135,78126,78162,78110,78183,78122,78124,81832,78184
6,128x128x32w64-16-16,128,128,32,64,16,16,64-16-16,4096,36864,1024,77824,2048,16,64,2048,16,1024,8192,8192,256,8,2,16,8,8,9,2,16,8,9,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,8.0,2.0,57344.0,2,79083,79081,79085,79081,79102,79083,79097,79114,83034,79117
7,128x128x32w64-16-8,128,128,32,64,16,8,64-16-8,2048,26624,512,88064,1024,8,64,1024,16,1024,8192,4096,512,8,2,8,8,8,9,2,8,8,9,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,8.0,4.0,57344.0,0,90701,90701,90717,90711,90728,90744,90709,90711,94526,90745
8,128x128x32w8-128-8,128,128,32,8,128,8,8-128-8,16384,33792,64,80896,8192,8,8,8192,128,1024,8192,512,512,1,16,8,8,1,2,16,8,8,2,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,16.0,1.0,4.0,86016.0,2,99282,99241,99250,99282,99280,99276,99242,99238,102829,99288
9,128x128x32w8-64-16,128,128,32,8,64,16,8-64-16,16384,26624,128,88064,8192,16,8,8192,64,512,4096,1024,512,1,8,16,8,1,2,8,16,8,2,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,16.0,2.0,2.0,90112.0,0,94915,94907,94923,94933,94923,94944,94906,94897,98377,94952
